code,AT scheme code original language,AT scheme code translated,AT Notes,BE scheme code original language,BE Notes,BG scheme code original language,BG scheme code translated,BG Notes,CY scheme code original language,CY Notes,CZ scheme code original language,CZ Notes,DE scheme code original language,DE scheme code translated,DE Notes,DK scheme code original language,DK Notes,EE scheme code original language ,EE scheme code translated,EE Notes,ES scheme code original language,ES Notes,FR scheme code original language,FR scheme code translated,FR Notes,GB scheme code original language,GB Notes,GR scheme code original language,GR scheme code translated,GR Notes,HR scheme code original language,HR scheme code translated,HR Notes,HU scheme code original language,HU scheme code translated,HU Notes,IE scheme code original language,IE Notes,LT scheme code original language,LT scheme code translated,LT Notes,LU scheme code original language,LU Notes,LV scheme code original language,LV scheme code translated,LV Notes,MT scheme code original language,MT Notes,NL scheme code original language,NL scheme code translated,NL Notes,PL scheme code original language,PL scheme code translated,PL Notes,PT scheme code original language,PT Notes,RO scheme code original language,RO scheme code translated,RO Notes,SE scheme code original language,SE Notes,SI scheme code original language,SI Notes,SK scheme code original language,SK Notes
I.1,Betriebsprämienregelung (8),Single payment scheme (8),"Description corresponds, number does not ",I.1,Number corresponds,,,,,,,,EGFL: Direktzahlungen,EAGF: direct payments /,"Kim moved here from II.7. Confirmed with Christian Rehmer this is correct. DEU farm agency further confirmed this is correct (for period until 2013, payments allowed through 2015). ",Single payment scheme - title III,Same formulation and number corresponds ,,,,I.1   Single payment scheme,Number and description corresponds,I.1 - Aide unique découplée à la surface (DPU),I.1 - Single decoupled surface aid (DPU) / ,"Number fits, description kind of fits. ",,,I.1 Καθεστώς ενιαίας ενίσχυσης – τίτλος III (ΕΓΤΕ),I.1 Single Payment Scheme - Title III (EAGF),(Kim added I before scheme number in translated version),Program jedinstvenih plaćanja,Single payment program,Only one that mentions single payment scheme,,,"Kim: Moved ""Tejkvóta nyilvántartás - 2007-tõl Tejtermelés elválasztott (Nemzeti, Nemzeti)"" from here to I.7",Single Payment,Most likely this one as same formulation,,,,I.1,Number corresponds,Īpašais kartupeļu cietes atbalsts,Special potato starch support,"KIM: LV office confirmed match here. FRIDA: Could be this one, as it mentions support for sectors/products. Fits no where else. Matched with I.1. ",I.1,Number corresponds,I.01. Business supplement,(Confirmed with Dutch agency),KIM: confirmed with Dutch agency,,,,I.1,Number corresponds,,,,"Guarantee Fund direct support: I.1, Single payment scheme - title III",Description and number correspond,I.1 Shema enotnega plačila  / Single payment scheme&nbsp,Number and description corresponding,,
I.2,,,,,,,,,I.2,Number corresponds,,,,,,"Single area payment scheme - title V, chap 2",Same formulation and number corresponding,Ühtse pindalatoetuse põhimakse (I.2),Basic area payment (I.2) / ,Number and description corresponds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"I.2 System jednolitej płatności obszarowej Tytuł V, rozdział 2","I.2. Single area payment scheme. Title V, Chapter 2",Number and description corresponds,,,,,,,,,,I.2,Number corresponds
I.3,,,,I.3,Number corresponds,,,,,,SSP,"Kim added. Described by Czech farm office as ""Single sugar payment,  R. 73/2009 art. 126""",,,,"Aid for sugar beet and cane producers - Title IV, chap 1, section 7",Only one that mentions sugar - most likely this one as same formulation and number corresponds,,,,,,,,,,,I.3 Ενίσχυση για παραγωγούς ζαχαροτεύτλων και ζαχαροκάλαμου Τίτλος IV κεφ. 1 τμήμα 7 (ΕΓΤΕ),"I.3 Aid for sugar beet and cane producers Title IV, Chapter 1, Section 7 (EAGF)",Number and description corresponds,,,,,,,,,Tiesioginės išmokos už cukrų (EAGF),Sugar Direct Payments (EAGF),Description correspond,,,Atsevišķais maksājums par cukuru       ,Separate sugar payment / ,Most likely this one as only one that mentions sugar,,,,,"KIM: removed ""A.08. Herstructureringssteun suiker"" here and matched with National after Dutch agency input. ",,,,,,"Plata separata pentru zahar  - R.73/09, art.126","Separate payment for sugar - R.73 / 09, art.126","KIM: Matches legislation for EC 73/2009, correct. Frida: Description correspond, article numbers don't, doesn't match article 126 below. ",,,,,,
I.4,Zahlungen für Rindfleisch (9),Payments for beef (9),"Description correspond, number don't ",I.4,Number corresponds,"EAFRD - ND - НДК - Схема за национални доплащания за крави с бозаещи телета, обвързана с производството (НДК)",EAFRD - ND - NPC - Nomenclature of national additional payments for suckler cows coupled with production (NPP),"Only one that mentions  cows. KIM: Left here because name matches, although measure name states EAFRD and this is currently classified EAGF. Deleted leading and trailing space. ",,,TEM,Czech farm office placement,,,,"Beef and veal payments- title IV, chap 1, Section 11",Same formulation and numbers corresponding,Ammlehma kasvatamise täiendav otsetoetus,Additional direct aid for suckler cow farming /,Only one that mentions suckler cows,I.4   Beef and veal payments,Number and description correspondss,I.4 - Primes pour la viande bovine,I.4 - Premiums for beef and veal / ,Number and description corresponds,,,,,,Premija za krave dojilje,Suckler cow premium / ,Only one that mentions suckler cows,"Élõ szarvasmarha és marhahús export-támogatása (EMGA, EU)","Export subsidy for live cattle and beef  (EAGF, EU)","Most likely this one, but could also be measure I.7 on row 8 ",Beef & Veal Payments,Same formulation,Tiesioginės išmokos už mėsinius galvijus ir mėsines avis (EAGF),Direct payments for beef and veal (EAGF),description corresponds,,,,,,,,I.03. Slachtpremie volwassen runderen,I.03. Adult bovine slaughter premium / ,"Number not corresponding, but inly one that mentions slaughter bovine premiums. KIM: Not in Dutch agency list. ",,,,I.4,Number corresponds,,,,"Guarantee Fund direct support: I.4, Beef and veal paymentstitle IV, chap 1, Section 11",Description and number correspond,,,,
I.5,,,,,,"EAFRD - ND - НДЖ 3 - Схема за национални доплащания за овце майки и кози майки, обвързана с производството (НДЖ3)",EAFRD - ND – NGE3 – Production coupled scheme for national supplementary payments for ewe and she-goat,"Description corresponding. KIM: Left here because name matches, although measure name states EAFRD and this is currently classified EAGF. Deleted leading and trailing space. ",,,BAH,Czech farm placement. But also placed at measure II.7 on row 15 so could be that also,,,,"Premiums in the sheepmeat and goatmeat sector - title IV, chap 1, Section 10",Same formulation and number corresponding,Ute kasvatamise täiendav otsetoetus,Additional direct aid for growing ewes /,Most likely this one as only one that mentions growing ewes,,,,,,,,,,,Dopunska premija za ovce i koze - ovce koje nisu mliječne,Supplementary premium for sheep and goats - non-dairy sheep / ,Could also be measure I.7 on row 8,,,,Premium to Sheep meat and Goat Sector,Same formulation,,,,,,,,,,,,,,,,,I.5,Number corresponds,,,,,,,,,
I.6,,,,,,EAGF DP - Специално плащане за култура – памук (Памук) - Специално плащане за култура – памук (Памук),"EAGF DP - Special crop payment - Cotton (cotton) - Special crop payment - Cotton (cotton) ', / ","Could also be measure II.8 on row 16, exactly the same description-KIM:  but this is correct because it's Pillar I (EAGF). Deleted trailing space. ",,,,,,,,,,,,,I.6   Crop specific payment for the cotton,Number and description corresponds,,,,,,I.6 Ειδική ενίσχυση για το βαμβάκι — τίτλος IV κεφ. 1 τμήμα 6 (ΕΓΤΕ),"I.6 Special aid for cotton - Title IV, Chapter 1, Section 6 (EAGF)",Number and description corresponds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I.7,Besondere Stützung - Milchkuhprämie (10),Special support - Dairy cow premium (10),"Only one that mentions special support + dairy, number not corresponding ",I.7,Number corresponds,"EAGF DP - НДКМ1 - Схема за поддържане на производството на краве мляко в икономически уязвими ферми, обвързана с производството (НДКМ1)",EAGF DP - NDKM1 – Production coupled scheme for sustaining cow's milk production in economically vulnerable farms (NKMM1),"Only one that mentions support for dairy in certain areas, but unsure. KIM: Deleted trailing space. ",I.7,Number corresponds,,,,,,"Specific support - Title III, chap 5",Same formulation and numbers corresponding,Seakasvatuse eritoetus (I.7),Specific aid for pig production (I.7), Number and description corresponds. Kim deleted trailing spaces. ,I.7   Specific support,Number and description correspond,I.7 - Soutiens couplés spécifiques,I.7 - Specific coupled supports /,Number and description corresponds,Additional amounts of aid,Could be this one but unsure,"I.7 Ειδική στήριξη — Τίτλος III, κεφ. 5 (ΕΓΤΕ)","I.7 Special support - Title III, Chapter 5 (EAGF)",Number and description corresponds,Očuvanje izvornih i zaštićenih pasmina domaćih životinja,Preservation of native and protected breeds of domestic animals / ,Could be this one but unsure                                                                                                                                                                                                                                                 ,,,,Specific Support  Direct Aid,Most likely this one as only one that mentions specific support ,Pieno sektoriaus restruktūrizavimas (supaprastinta tvarka) (EAFRD),Dairy sector restructuring (simplified procedure) (EAFRD),"Most likely this one as only one that mentions both dairy sector and restructuring, but unsure. KIM: Two measures under EAFRD mention restructuring, V/B.1.15 and V/B.1.18, but neither mentions dairy. Left here. ",,,Īpašais atbalsts par pienu,Special milk support / ,Could be this one as only one that mentions special support + dairy,,,"I.06.a Specifieke steun milieu, regeling instandhouding van vezelgewassen","I.06.a Specific aid for the environment, scheme for the conservation of fiber crops / "," Number not corresponding, but only one that mentions specific support. KIM: Confirmed Dutch agency","I.7 Wsparcie specjalne - Tytuł III, rozdział 5","I.7 Special support - Title III, Chapter 5",Number and description correspond,I.7,Number corresponds,,,"Kim moved ""Sprijin specific (articolul 68) u Ajutoare directe cuplate R.73/09, art.68(1)(a)(ii)"" from I.7 to I.3 to match referenced legislation re sugar. ","Guarantee Fund direct support: I.7, Specific support - Title III, chap 5",Description and numbers correspond,I.7 Plačila za živali (govedo) / Payments for animals (cattle)&nbsp,Number and description corresponds. Could also be measure I.4 on row 5 ,I.7,Number corresponds
II.1,,,,,,,,,,,,,,,,"Basic payment scheme - Title III, Sections 1, 2, 3 and 5.",Same formulation and numbers corresponding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Guarantee Fund direct support: II.1, Basic payment scheme - Title III, Sections 1, 2, 3 and 5.",Description and numbers correspond,,,,
II.2,,,,,,EAGF DP - СЕПП - Схема за единно плащане на площ (СЕПП),EAGF DP - SAPS - Single Area Payment Scheme (SAPS) /,Could also be measure I.2 on row 3. KIM: Deleted leading space. ,,,SAPS,Czech farm office placement. But also placed at measure I.2 on row 3 so could be that ,,,,Single area payment scheme - Art.36,Same formulation and number corresponding,,,,,,,,,Single area payment scheme,Could also be measure I.2 on row 3 ,,,,,,,"Területalapú támogatás (EMGA, EU)","Area-based subsidy/aid (EAGF, EU)",Could also be measure I.2 on row 3 ,,,,,,,,Vienotais platības maksājums,Single Area Payment / ,Kim: Confirmed correct placement with LV office. Frida: Could also be measure I.2 on row 3 ,,,,,,,,,,,,,"Kim moved ""Plata unica pe suprafata - R.73/09, art.122"" from II.2 to I.2 to match regulation number. ",,,,,,
II.3,,,,,,EAFRD - ND - ПНДП - Схема за преходна национална помощ за земеделска земя на хектар (ПНДП),EAFRD - ND – PND – Scheme for transitional national aid for agricultural land per hectare,"Description corresponds. KIM: Left here because name matches, although measure name states EAFRD and this is currently classified EAGF. ",,,,,EGFL: Umverteilungsprämie,EAGF: redistributive payment / ,Only one that mentions redistributive payment,"Redistributive payment - Title III, chap. 2","Number corresponding, only one that mentions redistributive payment",,,,,,,,,,,,,,,,,,,,,,Išmoka už pirmuosius hektarus (EAGF),First hectare payment (EAGF),Only one that mentions first hectare,,,,,,,,,,,,,,,,,,,,,,,,
