translated_scheme,'DE148','DE94B','DEA28','DEA2D','DEB23',BE100,BE211,BE212,BE213,BE221,BE222,BE223,BE231,BE232,BE233,BE234,BE235,BE236,BE241,BE242,BE251,BE252,BE253,BE254,BE255,BE256,BE257,BE258,BE310,BE321,BE322,BE323,BE324,BE325,BE326,BE327,BE331,BE332,BE334,BE335,BE336,BE341,BE342,BE343,BE344,BE345,BE351,BE352,BE353,CH011,CY000,DK011,DK012,DK013,DK014,DK021,DK022,DK031,DK032,DK041,DK042,DK050,DKNaN,EENaN,FR101,FR211,FR223,FR232,FR251,FR253,FR301,FR411,FR412,FR414,FR632,FR633,IENaN,ITC4C,LU000,LUNaN,LVNaN,NL111,NL112,NL113,NL121,NL122,NL123,NL131,NL132,NL133,NL211,NL212,NL213,NL221,NL224,NL225,NL226,NL230,NL310,NL321,NL322,NL323,NL324,NL325,NL326,NL327,NL332,NL333,NL337,NL338,NL339,NL33A,NL341,NL342,NL411,NL412,NL413,NL414,NL421,NL422,NL423,NLNaN,RONaN,USnan
I.1,,716.3800048828125,,1486.1199951171875,1997.02001953125,750950.4376220703,11694646.351295471,3063694.334602356,23291422.358735085,5941039.5459365845,11233423.66770935,10985603.2972641,6385014.098739624,4845950.817779541,9115455.733276367,17790595.72003174,8105134.414543152,9263477.77167511,11914959.016914368,15964325.865974426,13725680.28529358,10124804.160118103,15814027.72857666,9591856.349151611,6378927.403198242,5779680.352172852,9062590.15473938,8044423.760345459,25580320.519485474,13056008.89796997,10458504.27548767,12156253.343223572,2333574.9384765625,10033422.26868225,13612273.197845459,13751073.327441692,11473851.585540771,11908593.764396667,11250240.409942627,10333334.440151215,6805581.876739502,2147389.6803016663,8693090.103733063,6010478.078094482,7325529.533290863,4408188.6982421875,16074989.183868408,22787388.723076582,9517760.730628967,3656.77001953125,,2470.8956399999997,0.0,2754.471828,,0.0,8978.928912000001,14272.7088,85671.398004,43601.51568000001,12220.470342,4876.464125999999,,1845.900001525879,2092.27001953125,21389.520263671875,599.969970703125,25714.310546875,5335.14013671875,12627.849609375,123553.86068725586,9555.739807128906,177.14999389648438,,1413.800048828125,37163.2890625,1094558795.4997475,602.6400146484375,469126.60623168945,30706306.056325436,410459.9130859375,36642146.4013176,13658274.570800781,26401836.759605408,41568352.040130615,21910578.14387369,28164335.790740967,31287241.446849823,34714658.560733795,17398115.08280945,35054969.162979126,15756189.157211304,40195497.330667496,43561463.110007524,16186621.399115562,43695532.3226738,10151934.332237244,30638867.985219955,26435243.20363617,20987343.049865723,2791121.2215270996,1759645.2663879395,435183.49865722656,1826620.5149536133,7770476.224777222,924721.6467895508,1684520.9235229492,507162.0302429199,3604672.4687957764,7485459.059112549,15534309.587249756,8641916.774347305,17043915.07521057,23375077.101860046,22705192.423706055,21771918.740081787,41444320.04374695,30370290.788913727,11441226.201049805,11709546.821971893,10214821.107192993,1465855.3021850586,,8032.56005859375
I.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51664573.34979868,,0.0,,,,0.0,0.0,0.0,4773.44307,0.0,0.0,,97449564.71967411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1330595990.8458233,
I.3,,,,,,4771271.0,,,,,,,35223.6015625,,,,,,,,,,,,,,,,,,,,,,,1774580.6350097656,,,12413.6201171875,,,,,,,,,,,,,,,,,,,0.0,,15174.679608000002,,0.0,,,,,,,,,,,,,,,,,,,3163559.1036605835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12428914.93463564,
I.4,,,,,,4113.580017089844,773047.5386352539,311248.338470459,1180361.2974243164,758989.6820068359,609806.5270690918,1144925.478652954,883599.9915771484,785524.8794250488,1388217.8532409668,2130726.777648926,1366872.5296325684,1440944.0132751465,1675322.8116846085,1782018.6889038086,2501165.058532715,1635298.6035461426,1787692.7308044434,1186363.61277771,917968.440032959,784328.8753051758,1663084.2749786377,926447.1954345703,2114977.8947143555,1637998.315170288,1125193.8262023926,1146665.8694915771,411062.65814208984,1476106.6728973389,2321398.8417053223,1439114.065612793,2982109.657104492,1470984.7423706055,1415831.5196228027,1272048.118133545,381356.6581878662,1042523.819519043,8251275.99230957,3596718.5495300293,7424049.318237305,3110578.5491638184,7486655.093139648,3796130.0486450195,2422223.633102417,,,,,,,,44778.880014,0.0,0.0,2368.27701,0.0,5588.624004,,310705.5482350737,,,,,,,,,,,,,20818.40037536621,,42902.080078125,,,,,140.9600067138672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,636.22998046875,,,2888.3798828125,921.2999877929688,,,
I.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,95021.32979500294,,,,,,,,,,,,,18126.930545806885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I.7,,,,,,3151.449920654297,234216.10064530373,29434.02003479004,380684.9794561863,52728.159843444824,254336.2692131102,134613.01009309292,88708.00996780396,55014.390261650085,157890.5898399353,278606.43942832947,180517.08005142212,125548.02983093262,190656.88993549347,228885.9901921749,147332.28051543236,125353.86036300659,191767.21000961214,136391.5502435267,38651.029876708984,70813.94000166655,155402.219455719,87189.27992933989,20905.080070495605,56480.749923706055,35953.299964904785,46978.99989318848,7135.420013427734,34493.03012466431,294289.86014556885,33438.4599609375,143653.26999282837,196447.4899673462,17960.749952316284,608837.8800258636,402849.119972229,100735.99006652832,522788.35999679565,304246.0900115967,471182.00019836426,260078.15002441406,432515.6500854492,136389.53993225098,226344.73008728027,,,,,,,,,11505.627623999999,,,,,,5674315.904410571,,,,,,900.0,1322.6899948120117,,,,,1102.5999755859377,19357162.02842003,,1618.010009765625,,4516947.417385101,1445540.1903076172,353483.00213623047,440338.8934173584,361768.8289489746,539824.0068664551,1087612.1790466309,497299.42182159424,399827.00273132324,94334.72158813477,1112626.1641464233,275875.0185546875,1327674.8987350464,389735.69619750977,1041062.6545410156,1198045.4969024658,407129.4272155762,1932918.1751937866,1116019.0013656616,1176855.1040649414,237891.7186279297,133034.5762939453,1006.8099975585938,156244.62078857422,1061420.4093933105,8857.799987792969,9297.429992675781,2997.3800048828125,74911.56173706055,262581.2393798828,888675.0185241699,279787.7702217102,1069953.9935760498,1203716.923675537,1490756.7065887451,988037.8748474121,1508395.561126709,442080.6971206665,317025.4828491211,834026.2095184326,805568.8481216431,4020.3300170898438,37251981.953974776,410.6099853515625
II.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213754.20386400045,237732.35464800062,2956530.190883954,875125.1036819936,1508449.594139977,11114874.92912504,5983631.280689918,16121748.822261179,12778645.801219748,11434044.087121177,15470568.556040894,3997.6998839999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3375481.0097220005,2239488.617219999,14762877.484626,10020246.027174003,11530416.931457974,128138967.4935661,68132674.9075201,198081643.2112277,147998457.5889131,106293293.94871229,161524556.1624739,9739.916478000001,,,,,,,,,,,,,,,,,,135065877.31564572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1904082.240834,1865081.9298960003,10654719.175577998,8381750.459003999,9078772.546446007,105469604.79007849,57027901.005138025,167523524.43459,125992761.89385602,85070128.3541458,134781979.9457882,44432.793654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559559.1339480001,63429.71541,,,86274.76872000001,2887205.2028579996,963251.032002,747053.0291820001,1545047.6901420003,380404.17614399997,428627.6885760001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,343948.6912841797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,570429.5096588135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III.2,,,,,,,,12293.3701171875,,,,,,275112.6875,,,,,,,,,,,,,,,,,58577.25,,,,,,,,,,,,,,12651.75,,16639.189453125,,,,,,,,,,,,,,124984.662228,,,,,,,,,,,,,,,,472909.8522949219,,,,,,,,,,,,,,,,,,,,,,392662.484375,,,4406.080078125,,,,,,,,,,,,,,44897.7890625,,30729.16064453125,,,94909.3828125,803081.185546875,,
