translated_scheme,BGNaN,CZNaN,SE110,SE121,SE122,SE123,SE124,SE125,SE211,SE212,SE213,SE214,SE221,SE224,SE231,SE232,SE311,SE312,SE313,SE321,SE322,SE331,SE332,SENaN
I.1,,,107627.91750000014,231560.54658,125160.82091999991,333770.0079600001,152118.06804000013,149022.23004000005,65781.69714000006,73296.44765999996,48966.96474000001,195186.14064000009,46440.2115,808138.291140002,140054.12622000012,657939.2200200001,84184.81631999991,89181.05507999999,110592.63144,39182.53175999998,38202.21827999999,121272.42725999997,41448.833099999996,913152.6028800025
I.3,,62554.927959667984,,,,,,,,,,,,,,,,,,,,,,
I.4,71175389.34620214,73809980.1222548,,,,,,,,,,,,,,-683.4088800000002,,,,,,,,
I.5,21905761.07661142,2604879.763933498,,,,,,,,,,,,,,,,,,,,,,
I.6,2570608.113219447,,,,,,,,,,,,,,,,,,,,,,,
I.7,20418404.904034447,,,,,-464.05872,,,,,,102.06756,,3.80376,,,,,64.98089999999999,,,,,-44.37719999999996
II.1,,,9785077.92863999,15665463.191339979,12649205.767500017,25848103.775580022,11055664.892699998,9805118.989140004,13140121.146299986,4978481.540400003,15878906.851679988,12370843.546559999,4379496.479639996,53828254.970640115,8730445.529160002,50184738.71532003,11013328.092959976,6276231.365939995,7921492.599420012,4860244.302300002,2141793.603539999,7269400.075499995,4353628.058820005,74158885.78740013
II.10,,10748076.865096154,,,,,,,,,,,,,,,,,,,,,,
II.2,374253215.9602303,453131188.0794636,,,,,,,,,,,,,,,,,,,,,,
II.3,70625794.91491161,,,,,,,,,,,,,,,,,,,,,,,
II.4,297549756.61682135,248207317.97184348,5299293.19464,8474231.757420009,6846787.652760008,14010932.934359983,5978837.771459994,5297806.030140001,7131784.15943999,2716781.3764199982,8551868.189579995,6767066.2318199985,2370769.9178400007,29196068.40719992,4736445.755760001,27106787.929319907,5962274.932499992,3400329.410640005,4303778.621759999,2647582.423559999,1167118.9864199993,3955692.4234199976,2366294.688539998,40213558.55322009
II.6,9533074.06367009,2202364.9044398204,173993.28048000004,327612.67146,186410.97198000006,505748.4578999995,222339.7040400001,175353.96996000007,377691.6020400001,167534.496,204728.08392000006,291520.06074000016,74137.18427999999,1027498.383180002,201087.35730000012,1020590.543700002,295708.95144000015,120522.76956,201183.82487999997,133601.47002,36437.9076,196155.04283999995,154338.19595999998,1620561.5179200026
II.7,19944289.126517043,47343140.489156604,950760.2723399999,1843809.0526799993,1830369.1006800018,4362593.943779999,1633418.4380400002,792955.9000799999,5985887.195339991,2343937.349520001,6380069.78754,3375088.293240001,1017502.4188800006,8363988.543599994,2817703.3707000003,12114972.958500013,2761931.1623399993,1557397.8642600013,2453834.104200001,1593654.247979998,834150.72654,2083583.81898,1310062.9136400002,18453250.30662001
III.10,4660712.635538732,11172921.400769975,141966.3609,337933.22328000003,318494.9530800002,782339.2889400003,265140.35117999994,137713.33458,1142184.5999999996,410059.90907999995,1559219.4426600016,745935.8265000001,140154.71454000007,1404078.5476800003,803008.6037999998,2373647.0396400006,355450.91166,278116.9840799999,427794.8344199999,286611.4141199999,155051.50662000003,570734.85222,352190.77236000006,3349382.271839998
III.2,16690.130222656247,42731.13496148437,,,,,,,,,,,,92685.58596,,209361.16926,,,,,,,,
III.3,3872488.13593813,5333209.716177333,1630272.3058799992,278259.20243999996,345492.13968,370310.8284,258861.82266,156268.70982,330176.08872,159204.05028,202253.31539999996,51780.2679,145181.70036000002,1115304.27336,314111.96496000007,1572733.56798,238734.86058000004,207119.16971999998,272148.462,242140.70502,110876.11722,270137.85786,233544.84138,83931.86627999999
III.4,51711420.88165978,3154887.811494844,,,,-72525.65796,,,,,20822.9445,-11876.500979999999,,4551437.73726,,,,,,,,,,
III.5,24256222.278135344,5180596.42961718,,,,,,,,,,,,,,,,,,,,,,
III.7,1184768.2925831836,1151846.92386,78096.05316000001,112258.04436,,219221.14914000002,,,6663.9762,,,,,99378.19602,,65120.371199999994,,,,,,,,4448.70864
IV/A.1,,,125637.55884000001,,,,,,,,,,,12895.16904,,,,,,,,5621.74596,,
IV/A.14,51525.5944078125,,,,,,,,,,,,,,,,,,,,,,,
IV/A.15,35820608.202424824,61223351.45118565,2431301.6865600003,3146785.2444599983,3760840.4853599984,7402806.70848,2707550.601839999,1607325.3840599994,5600968.660619997,1867731.4276199997,9606339.774539977,6080612.653259998,1575315.8983800006,9748485.229140032,2035695.7485000002,11354936.910659982,2923952.0025599995,1400857.2912600003,2514401.9029800002,611623.7929800003,1351681.0140600002,1647996.0312599998,3921837.163200002,24085772.318699952
IV/A.16,3820838.334628686,22982819.23357322,1987769.2177799996,2269090.8696600003,3169736.0756999995,8457138.610920005,3686901.202260003,2743388.1493200017,4129008.951599998,958542.0256800003,2439105.20586,2982294.60174,485695.35215999995,5076477.914939999,1197875.5558200004,17157363.58386,6276505.764959999,2535316.666020001,3598786.5735600013,1826826.4265400006,1132293.7674,1396482.4389600004,894252.2477399998,18021143.276279986
IV/A.18,,66531619.862001754,2908298.4735600017,4296909.348179994,1882477.654200001,3747574.132739997,2952143.464139997,1002548.46474,14929947.554039996,4312510.364160002,8042914.112940014,3898155.6930599986,567142.5178799996,3008191.5507599935,992407.7462400005,21639706.33769997,13989807.062640002,8978504.462099992,18978094.590660032,14558125.470660014,8483833.926899992,20860768.56113997,12801289.707359975,38016763.742339976
IV/A.19,,5031788.799305985,193595.21802000003,369462.27294000005,947559.72528,1238057.8425,812879.78364,1182595.4292600001,105727.51674,223417.11906,941727.29328,818587.43118,279778.1706,6030660.303359999,1206393.7593599998,3228835.411800001,508494.5613,153728.11512,66103.5375,126435.71448,,139790.50452000002,213404.77746,3743884.2742199996
IV/A.20,,339423.23829833453,,,,,,,,,,,,,,,,,,,,,,
IV/A.21,,,,,35444.280960000004,18667.90314,,,8739.1386,,,,,52830.0,,88896.82968,,,,,,,,
IV/A.24,,,61418.46744,95346.21041999999,126310.50738,66088.85076,59219.682839999994,93516.81318000001,87672.75858,71784.13608,222725.997,53579.97468,,417916.89234,97636.70790000001,456509.10167999996,150423.9156,,194603.5314,131809.68774000002,132346.33487999998,143655.65297999998,216864.40284,129717.19710000002
IV/A.25,,,481349.55636,485088.7581,379371.1734,1066210.72794,409262.59872,93846.89502000001,15969146.725619998,588415.99662,1001433.11778,439614.59598,,1381332.59118,789906.7638000002,1625050.8,397773.4473,363119.50314,406329.05448,267980.80896,311900.50116,59169.60000000001,513941.8626,
IV/A.4,6173705.538759276,,350693.25318,,,,,,14876.928,72113.05566000001,69735.6,88543.08,332840.6226,146308.4586,394534.86263999995,39052.14732,,120091.5711,881679.6586800002,155189.92122000002,87346.26918,113654.86956000002,293084.991,1184031.45432
IV/A.6,1674853.32797848,,15849.0,,,,,,,,,63396.0,98804.99051999999,52830.0,63396.0,,,,15849.0,31698.0,15849.0,26415.0,74605.15242,63396.0
